Query_SMILES,Rank,Similarity,Viable_SMILES
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,1,0.13402061855670103,[1*]C(=O)CCCCCCC(=O)NO.[16*]c1cc2c(ncn2C)c(F)c1[16*]
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,2,0.12941176470588237,[14*]c1cnc2nc(N)nc(N)c2n1.[7*]C([8*])CC
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,3,0.12941176470588237,[14*]c1nc(C)c([14*])s1.[16*]c1ccc(F)c(Cl)c1
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,4,0.12790697674418605,[16*]c1cccc([16*])c1C.[9*]n1c([14*])cc2cnc([14*])nc21
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,5,0.12371134020618557,[15*]C1CCc2cc(O)ccc2C1.[9*]n1cc(F)c([14*])nc1=O
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,6,0.12280701754385964,CC1CNC(=O)c2cnn3ccc(nc23)NC(C)c2cc(F)ccc2O1.[1*]C(=O)C([4*])C
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,7,0.12087912087912088,[1*]C(=O)C([4*])C(C)O.[14*]c1ncnn2cc([16*])cc12
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,8,0.11904761904761904,[14*]c1ccnc(N)n1.[16*]c1ccc([16*])c(F)c1
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,9,0.11818181818181818,[16*]c1ccc2nc3c(c([16*])c2c1)Cn1c-3cc2c(c1=O)COC(=O)C2(O)CC.[8*]CC[8*]
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,10,0.11702127659574468,[16*]c1cc([16*])c(C)cc1[16*].[9*]n1cnc2c(N)nc3ccccc3c21
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,11,0.11428571428571428,[12*]S(=O)(=O)c1c(F)cccc1F.[13*]C12C([15*])C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,12,0.1111111111111111,[14*]c1n[nH]c(=O)c2ccccc12.[16*]c1cc([16*])c(Br)cc1F
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,13,0.10619469026548672,[14*]c1ccnc([14*])n1.[15*]C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,14,0.10588235294117647,[14*]c1nccc(C)c1[16*].[16*]c1cccc(O)c1
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,15,0.10465116279069768,[14*]c1nc([14*])nc([14*])n1.[15*]C1CCc2cc(F)cc(F)c2C1
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,16,0.10309278350515463,[1*]C(=O)C(C)(O)CS(=O)(=O)c1ccc(F)cc1.[14*]c1csc([14*])n1
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,17,0.10309278350515463,[16*]c1c(C)[nH]c2ccccc12.[9*]n1cnc2c([14*])nc(N)nc21
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,18,0.102803738317757,[10*]N1C(=O)NC(C)(C)C1=O.[16*]c1ccc(C)c(C#Cc2cnc3cccnn23)c1
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,19,0.102803738317757,[16*]c1ccc(F)c([16*])c1.[3*]OC1CC([15*])(N)Cc2c(O)c3c(c(O)c21)C(=O)c1ccccc1C3=O
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,20,0.10256410256410256,[16*]c1ccc([16*])c(F)c1.[8*]CCN
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,21,0.10227272727272728,[16*]c1c2ccccc2nc2ccccc12.[4*]C(CC(C)C)B(O)O
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,22,0.10101010101010101,[16*]c1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12.[8*]C(C)O
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,23,0.10084033613445378,CC1CNC(=O)c2cnn3ccc(nc23)NC(C)c2cc(F)ccc2O1.[16*]c1ccc(Cl)c([16*])c1
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,24,0.09782608695652174,NCCCC(N)(C(=O)O)C(F)F.[16*]c1cnc(N)nc1
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,25,0.0967741935483871,[1*]C(=O)C(=C)F.[9*]n1c([14*])nc2cccc(F)c2c1=O
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,26,0.09523809523809523,[16*]c1cccc([16*])c1C.[5*]N1CCC([15*])C1
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,27,0.09523809523809523,[16*]c1cc(Cl)ccc1Cl.[5*]N1CCN(C)CC1
