Product,EMA,FDA,EN,Other,WHO,Year,Generic,DrugBank ID,ATC,ChEMBL,Indications,Targets,Last Update,SMILES,MolWeight,LogP,NumHDonors,NumHAcceptors,SMILES_cleaned,MetaText
Abemaciclib,Y,Y,N,,N,2017.0,N,DB12001,L01EF03,CHEMBL3301610,Advanced Breast Cancer; Metastatic Breast Cancer,CDKN2A; PGR; CDK4; ERBB2; CDK6; ESR1; ABCB1; CCND2; NRAS; ESR2; SMARCA4; BRAF; TP53; MKI67; CCND3; CCND1; EIF4EBP1; KRAS; PIK3CA,2024-07-24,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,506.6050000000003,4.936920000000004,1,8,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,<INDICATION=Advanced Breast Cancer; Metastatic Breast Cancer> <TARGET=CDKN2A; PGR; CDK4; ERBB2; CDK6; ESR1; ABCB1; CCND2; NRAS; ESR2; SMARCA4; BRAF; TP53; MKI67; CCND3; CCND1; EIF4EBP1; KRAS; PIK3CA>
Abiraterone,Y,Y,N,,Y,2011.0,Y,DB05812,L02BX03,CHEMBL254328,Metastatic Castration Resistant Prostate Cancer,CYP17A1; CPB2; AR; YBX1; TP53; PTEN; SRD5A2; APC; SRD5A1; TSPYL1; SRD5A3; DSE,2024-07-25,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,349.51800000000003,5.398600000000006,1,2,CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12,<INDICATION=Metastatic Castration Resistant Prostate Cancer> <TARGET=CYP17A1; CPB2; AR; YBX1; TP53; PTEN; SRD5A2; APC; SRD5A1; TSPYL1; SRD5A3; DSE>
Acalabrutinib,Y,Y,N,,N,2017.0,N,DB11703,L01EL02,CHEMBL3707348,Chronic Lymphocytic Leukaemia (CLL); Mantle Cell Lymphoma (MCL); Small Lymphocytic Lymphoma,EPHB3; FGR; EPHA8; EPHX2; EEGV1; EN1; ENO2; EFNA1; EPS15; DXO; ERBB4; TP53; CYP3A4; BTK; TEC; EFNB2; MS4A2,2024-07-24,CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,465.51700000000017,3.3126000000000015,2,7,CC#CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,<INDICATION=Chronic Lymphocytic Leukaemia (CLL); Mantle Cell Lymphoma (MCL); Small Lymphocytic Lymphoma> <TARGET=EPHB3; FGR; EPHA8; EPHX2; EEGV1; EN1; ENO2; EFNA1; EPS15; DXO; ERBB4; TP53; CYP3A4; BTK; TEC; EFNB2; MS4A2>
Aclarubicin,N,N,N,Japan,N,,,DB11617,L01DB04,CHEMBL502620,,TOP2A; SMN1; CSF2,2024-07-24,CCC1(CC(C2=C(C3=C(C=C2C1C(=O)OC)C(=O)C4=C(C3=O)C(=CC=C4)O)O)OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)OC7CCC(=O)C(O7)C)O)N(C)C)O,811.878,3.1577000000000006,4,16,CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)C1C(=O)OC,<INDICATION=nan> <TARGET=TOP2A; SMN1; CSF2>
Adagrasib,N,Y,N,,N,2022.0,N,DB15568,L01XX77,CHEMBL4594350,"Locally Advanced Non-Small Cell Lung Cancer, Metastatic Non-Small Cell Lung Cancer",KRAS; GPM6B,2024-07-24,CN1CCCC1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN(C(C6)CC#N)C(=O)C(=C)F,604.1300000000001,4.732980000000005,0,8,C=C(F)C(=O)N1CCN(c2nc(OCC3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)CC1CC#N,"<INDICATION=Locally Advanced Non-Small Cell Lung Cancer, Metastatic Non-Small Cell Lung Cancer> <TARGET=KRAS; GPM6B>"
Afatinib,Y,Y,N,,Y,2013.0,N,DB08916,L01EB03,CHEMBL1173655,"Metastatic Non-Small Cell Lung Cancer; Refractory, metastatic squamous cell Non-small cell lung cancer",NRG1; BRAF; EGFR; ERBB2; PTEN; ROS1; ERBB3; ALK; NUP62; KEAP1; DVL2; EN1; PIK3CA; ARF1; KRAS; EML4; ERBB4; UHRF1; DXO,2024-07-24,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,485.94700000000023,4.389900000000003,2,7,CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,"<INDICATION=Metastatic Non-Small Cell Lung Cancer; Refractory, metastatic squamous cell Non-small cell lung cancer> <TARGET=NRG1; BRAF; EGFR; ERBB2; PTEN; ROS1; ERBB3; ALK; NUP62; KEAP1; DVL2; EN1; PIK3CA; ARF1; KRAS; EML4; ERBB4; UHRF1; DXO>"
Alectinib,Y,Y,N,,N,2015.0,N,DB11363,L01ED03,CHEMBL1738797,"Refractory, metastatic Non small cell lung cancer",RET; ALK; ROS1; EML4; TP53; CYP3A4; IDH2; HBEGF; DRD4; BRAF,2024-07-24,CCC1=CC2=C(C=C1N3CCC(CC3)N4CCOCC4)C(C5=C(C2=O)C6=C(N5)C=C(C=C6)C#N)(C)C,482.6280000000002,4.773280000000004,1,5,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,"<INDICATION=Refractory, metastatic Non small cell lung cancer> <TARGET=RET; ALK; ROS1; EML4; TP53; CYP3A4; IDH2; HBEGF; DRD4; BRAF>"
Alitretinoin,Y,Y,N,,N,1999.0,N,DB00523,D11AH04; L01XF02,CHEMBL705,AIDS-related Kaposi's Sarcoma,RARB; RXRA; RARG; SFTPA1; RXRG; HCN2; RARA; RXRB; ERBB2; BCHE; EHMT2; BCHEL3; GCK; CGA; SERPINE1; CCR2; CD34; BCHEL1; P2RY2; CETP; VDR,2024-07-24,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,300.44200000000006,5.602600000000005,1,1,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,<INDICATION=AIDS-related Kaposi's Sarcoma> <TARGET=RARB; RXRA; RARG; SFTPA1; RXRG; HCN2; RARA; RXRB; ERBB2; BCHE; EHMT2; BCHEL3; GCK; CGA; SERPINE1; CCR2; CD34; BCHEL1; P2RY2; CETP; VDR>
Alpelisib,Y,Y,N,,N,2019.0,N,DB12015,L01EM03,CHEMBL2396661,Advanced Metastatic Breast Cancer,F5; PIK3CB; PIK3CG; BRAF; SGK1; CDK4; PIK3CA; PIK3CD; PIK3R2; PIK3C2A; ERBB2; ESR1; FGFR2; PIK3R1; PI4KA; PIK3R4; F7R; MAP2K1; ESR2; PTEN; FGFR3; PIK3C2B; TP53; PIK3R5; PIK3R6; PIK3R3; FGFR1; PIK3C2G; F7; NRAS; MTOR; ARID1A; PIK3C3; RB1; HRAS,2024-07-24,CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,441.4790000000001,3.835020000000002,2,5,Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,<INDICATION=Advanced Metastatic Breast Cancer> <TARGET=F5; PIK3CB; PIK3CG; BRAF; SGK1; CDK4; PIK3CA; PIK3CD; PIK3R2; PIK3C2A; ERBB2; ESR1; FGFR2; PIK3R1; PI4KA; PIK3R4; F7R; MAP2K1; ESR2; PTEN; FGFR3; PIK3C2B; TP53; PIK3R5; PIK3R6; PIK3R3; FGFR1; PIK3C2G; F7; NRAS; MTOR; ARID1A; PIK3C3; RB1; HRAS>
Altretamine,N,N,Y,,N,1990.0,N,DB00488,L01XX03,CHEMBL1455,Ovarian Cancer; Ovarian Cancer Stage III,CYP1A2,2024-02-07,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,210.285,0.0696000000000001,0,6,CN(C)c1nc(N(C)C)nc(N(C)C)n1,<INDICATION=Ovarian Cancer; Ovarian Cancer Stage III> <TARGET=CYP1A2>
