ParentID,ParentSMILES,FragmentSMILES,MetaText
Abemaciclib,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,[4*]CC,<INDICATION=Advanced Breast Cancer; Metastatic Breast Cancer> <TARGET=CDKN2A; PGR; CDK4; ERBB2; CDK6; ESR1; ABCB1; CCND2; NRAS; ESR2; SMARCA4; BRAF; TP53; MKI67; CCND3; CCND1; EIF4EBP1; KRAS; PIK3CA>
Abemaciclib,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,[5*]N1CCN([5*])CC1,<INDICATION=Advanced Breast Cancer; Metastatic Breast Cancer> <TARGET=CDKN2A; PGR; CDK4; ERBB2; CDK6; ESR1; ABCB1; CCND2; NRAS; ESR2; SMARCA4; BRAF; TP53; MKI67; CCND3; CCND1; EIF4EBP1; KRAS; PIK3CA>
Abemaciclib,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,[4*]C[8*],<INDICATION=Advanced Breast Cancer; Metastatic Breast Cancer> <TARGET=CDKN2A; PGR; CDK4; ERBB2; CDK6; ESR1; ABCB1; CCND2; NRAS; ESR2; SMARCA4; BRAF; TP53; MKI67; CCND3; CCND1; EIF4EBP1; KRAS; PIK3CA>
Abemaciclib,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,[14*]c1ccc([16*])cn1,<INDICATION=Advanced Breast Cancer; Metastatic Breast Cancer> <TARGET=CDKN2A; PGR; CDK4; ERBB2; CDK6; ESR1; ABCB1; CCND2; NRAS; ESR2; SMARCA4; BRAF; TP53; MKI67; CCND3; CCND1; EIF4EBP1; KRAS; PIK3CA>
Abemaciclib,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,[5*]N[5*],<INDICATION=Advanced Breast Cancer; Metastatic Breast Cancer> <TARGET=CDKN2A; PGR; CDK4; ERBB2; CDK6; ESR1; ABCB1; CCND2; NRAS; ESR2; SMARCA4; BRAF; TP53; MKI67; CCND3; CCND1; EIF4EBP1; KRAS; PIK3CA>
Abemaciclib,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,[14*]c1ncc(F)c([14*])n1,<INDICATION=Advanced Breast Cancer; Metastatic Breast Cancer> <TARGET=CDKN2A; PGR; CDK4; ERBB2; CDK6; ESR1; ABCB1; CCND2; NRAS; ESR2; SMARCA4; BRAF; TP53; MKI67; CCND3; CCND1; EIF4EBP1; KRAS; PIK3CA>
Abemaciclib,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,[9*]n1c(C)nc2c(F)cc([16*])cc21,<INDICATION=Advanced Breast Cancer; Metastatic Breast Cancer> <TARGET=CDKN2A; PGR; CDK4; ERBB2; CDK6; ESR1; ABCB1; CCND2; NRAS; ESR2; SMARCA4; BRAF; TP53; MKI67; CCND3; CCND1; EIF4EBP1; KRAS; PIK3CA>
Abemaciclib,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,[8*]C(C)C,<INDICATION=Advanced Breast Cancer; Metastatic Breast Cancer> <TARGET=CDKN2A; PGR; CDK4; ERBB2; CDK6; ESR1; ABCB1; CCND2; NRAS; ESR2; SMARCA4; BRAF; TP53; MKI67; CCND3; CCND1; EIF4EBP1; KRAS; PIK3CA>
Abiraterone,CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12,CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12,<INDICATION=Metastatic Castration Resistant Prostate Cancer> <TARGET=CYP17A1; CPB2; AR; YBX1; TP53; PTEN; SRD5A2; APC; SRD5A1; TSPYL1; SRD5A3; DSE>
Acalabrutinib,CC#CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,[1*]C(=O)C#CC,<INDICATION=Chronic Lymphocytic Leukaemia (CLL); Mantle Cell Lymphoma (MCL); Small Lymphocytic Lymphoma> <TARGET=EPHB3; FGR; EPHA8; EPHX2; EEGV1; EN1; ENO2; EFNA1; EPS15; DXO; ERBB4; TP53; CYP3A4; BTK; TEC; EFNB2; MS4A2>
Acalabrutinib,CC#CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,[5*]N1CCCC1[13*],<INDICATION=Chronic Lymphocytic Leukaemia (CLL); Mantle Cell Lymphoma (MCL); Small Lymphocytic Lymphoma> <TARGET=EPHB3; FGR; EPHA8; EPHX2; EEGV1; EN1; ENO2; EFNA1; EPS15; DXO; ERBB4; TP53; CYP3A4; BTK; TEC; EFNB2; MS4A2>
Acalabrutinib,CC#CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,[14*]c1nc([14*])n2ccnc(N)c12,<INDICATION=Chronic Lymphocytic Leukaemia (CLL); Mantle Cell Lymphoma (MCL); Small Lymphocytic Lymphoma> <TARGET=EPHB3; FGR; EPHA8; EPHX2; EEGV1; EN1; ENO2; EFNA1; EPS15; DXO; ERBB4; TP53; CYP3A4; BTK; TEC; EFNB2; MS4A2>
Acalabrutinib,CC#CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,[16*]c1ccc([16*])cc1,<INDICATION=Chronic Lymphocytic Leukaemia (CLL); Mantle Cell Lymphoma (MCL); Small Lymphocytic Lymphoma> <TARGET=EPHB3; FGR; EPHA8; EPHX2; EEGV1; EN1; ENO2; EFNA1; EPS15; DXO; ERBB4; TP53; CYP3A4; BTK; TEC; EFNB2; MS4A2>
